#constraints	mean(lower_bound)	SD(upper_bound)
#flux value (mandatory, if no replicates, set sd to 0)		
v66	100	1
v75	7.7	0.07
v67	11.4	0.1
v68	-81.6	0.8
v69	97.4	1
v70	70	0.7
v71	172.6	1.7
v72	81	0.8
#ratio value (mandatory, total reactions)		
1.0*v21_b/(1.0*v20 + 1.0*v21_b + 1.0*v67)	0.754800439	0.058264583
1.0*v20/(1.0*v20 + 1.0*v21_b + 1.0*v67)	0.140516311	0.039896104
1.0*v67/(1.0*v20 + 1.0*v21_b + 1.0*v67)	0.064898714	0.025370732
1.0*v1_f/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f)	0.78749603	0.040486678
1.0*v13_b/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f)	0.078647032	0.021487158
1.0*v15_b/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f)	0.143025935	0.030632498
1.0*v2/(1.0*v2 + 1.0*v3_b)	0.45312047	0.027979657
1.0*v3_b/(1.0*v2 + 1.0*v3_b)	0.572433352	0.031303227
1.0*v26_b/(1.0*v25 + 1.0*v26_b + 1.0*v40 + 1.0*v59)	0.488259405	0.083343938
1.0*v25/(1.0*v25 + 1.0*v26_b + 1.0*v40 + 1.0*v59)	0.425369084	0.07619793
1.0*v1_b/(1.0*v1_b + 1.0*v66)	0.665422499	0.056603078
1.0*v66/(1.0*v1_b + 1.0*v66)	0.353419483	0.05574616
1.0*v18/(1.0*v18 + 1.0*v28 + 1.0*v29 + 1.0*v52 + 1.0*v58 + 1.0*v7)	0.445854038	0.014000006
(1.0*v28 + 1.0*v29)/(1.0*v18 + 1.0*v28 + 1.0*v29 + 1.0*v52 + 1.0*v58 + 1.0*v7)	0.397541374	0.029259218
(1.0*v58 + 1.0*v7)/(1.0*v18 + 1.0*v28 + 1.0*v29 + 1.0*v52 + 1.0*v58 + 1.0*v7)	0.175275326	0.034808353
1.0*v44/(1.0*v44 + 1.0*v45_b)	0.062592715	0.02143679
1.0*v45_b/(1.0*v44 + 1.0*v45_b)	0.938119352	0.018693583
1.0*v15_f/(1.0*v15_f + 1.0*v16_f)	0.275083154	0.077037208
1.0*v16_f/(1.0*v15_f + 1.0*v16_f)	0.726583123	0.080116577
1.0*v12_f/(1.0*v12_f + 1.0*v13_f + 1.0*v14_f)	0.235701352	0.110732719
1.0*v10_f/(1.0*v10_f + 1.0*v12_b)	0.289811134	0.038994342
1.0*v12_b/(1.0*v10_f + 1.0*v12_b)	0.829587638	0.044726439
#flux range (optional, "all" to assign all reactions)		
all	0	200
