	formula	symbol
r1	FBP123_DHAP123	1.0*v3_f/(1.0*v3_f + 1.0*v4_b)
r2	GAP123_DHAP123	1.0*v4_b/(1.0*v3_f + 1.0*v4_b)
r3	F6P3456_E4P1234	1.0*v15_f/(1.0*v15_f + 1.0*v18_f)
r4	S7P4567_E4P1234	1.0*v18_f/(1.0*v15_f + 1.0*v18_f)
r5	FBP123456_F6P123456	1.0*v2_b/(1.0*v15_b + 1.0*v17_b + 1.0*v1_f + 1.0*v2_b)
r6	G6P123456_F6P123456	1.0*v1_f/(1.0*v15_b + 1.0*v17_b + 1.0*v1_f + 1.0*v2_b)
r7	E4P1234+TK12_F6P123456	1.0*v15_b/(1.0*v15_b + 1.0*v17_b + 1.0*v1_f + 1.0*v2_b)
r8	GAP123+TA123_F6P123456	1.0*v17_b/(1.0*v15_b + 1.0*v17_b + 1.0*v1_f + 1.0*v2_b)
r9	F6P123456_FBP123456	1.0*v2_f/(1.0*v2_f + 1.0*v3_b)
r10	DHAP123+GAP123_FBP123456	1.0*v3_b/(1.0*v2_f + 1.0*v3_b)
r11	Mal1234_Fum1234	1.0*v27_b/(1.0*v26_f + 1.0*v27_b)
r12	Suc1234_Fum1234	1.0*v26_f/(1.0*v26_f + 1.0*v27_b)
r13	F6P123456_G6P123456	1.0*v1_b/(1.0*v1_b + 1.0*v36)
r14	GlcEX123456_G6P123456	1.0*v36/(1.0*v1_b + 1.0*v36)
r15	G3P123_Gcr123	1.0*v35_b/(1.0*v34 + 1.0*v35_b)
r16	Ru5P2+Ru5P12_Gcr123	1.0*v34/(1.0*v34 + 1.0*v35_b)
r17	Fum1234_Mal1234	1.0*v27_f/(1.0*v27_f + 1.0*v28_b)
r18	OAA1234_Mal1234	1.0*v28_b/(1.0*v27_f + 1.0*v28_b)
r19	Mal1234_OAA1234	1.0*v28_f/(1.0*v28_f + 1.0*v30)
r20	CD1+PEP123_OAA1234	1.0*v30/(1.0*v28_f + 1.0*v30)
r21	Mal123_Pyr123	1.0*v29/(1.0*v29 + 1.0*v8)
r22	PEP123_Pyr123	1.0*v8/(1.0*v29 + 1.0*v8)
r23	Ru5P12345_R5P12345	1.0*v11_f/(1.0*v11_f + 1.0*v16_f)
r24	S7P34567_R5P12345	1.0*v16_f/(1.0*v11_f + 1.0*v16_f)
r25	G6P23456_Ru5P12345	1.0*v9/(1.0*v10_b + 1.0*v11_b + 1.0*v9)
r26	R5P12345_Ru5P12345	1.0*v11_b/(1.0*v10_b + 1.0*v11_b + 1.0*v9)
r27	X5P12345_Ru5P12345	1.0*v10_b/(1.0*v10_b + 1.0*v11_b + 1.0*v9)
r28	DHAP123+E4P1234_S7P1234567	1.0*v20/(1.0*v16_b + 1.0*v18_b + 1.0*v20)
r29	E4P1234+TA123_S7P1234567	1.0*v18_b/(1.0*v16_b + 1.0*v18_b + 1.0*v20)
r30	R5P12345+TK12_S7P1234567	1.0*v16_b/(1.0*v16_b + 1.0*v18_b + 1.0*v20)
r31	Fum1234_Suc1234	1.0*v26_b/(1.0*v25 + 1.0*v26_b)
r32	ICit2345_Suc1234	1.0*v25/(1.0*v25 + 1.0*v26_b)
r33	F6P123_TA123	1.0*v17_f/(1.0*v17_f + 1.0*v18_f)
r34	S7P123_TA123	1.0*v18_f/(1.0*v17_f + 1.0*v18_f)
r35	F6P12_TK12	1.0*v15_f/(1.0*v14_f + 1.0*v15_f + 1.0*v16_f)
r36	S7P12_TK12	1.0*v16_f/(1.0*v14_f + 1.0*v15_f + 1.0*v16_f)
r37	X5P12_TK12	1.0*v14_f/(1.0*v14_f + 1.0*v15_f + 1.0*v16_f)
r38	Ru5P12345_X5P12345	1.0*v10_f/(1.0*v10_f + 1.0*v14_b)
r39	GAP123+TK12_X5P12345	1.0*v14_b/(1.0*v10_f + 1.0*v14_b)
